financebench_id,mode,question_type,provider,model,temperature,template_alias,question,gold_answer,generated_answer,refusal_detected,refusal_confidence,llm_graded_score,llm_graded_facts_present,llm_graded_facts_missing,nem_match,nem_gold_num,nem_gen_num,nem_relative_error,nem_error_category,llm_binary_match,llm_binary_gold_num,llm_binary_gen_num,llm_binary_relative_error,llm_binary_error_category,token_f1,token_precision,token_recall,token_gold_count,token_gen_count,token_common_count
financebench_id_00917,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,What drove operating margin change as of the FY22 for AMD? If operating margin is not a useful metri...,The decrease in AMD's operating income was primari...,Operating margin change for AMD in FY22 was driven...,False,1.0,1.0,4.0,3.0,,,,,,,,,,,,,,,,
financebench_id_01279,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,"Among operations, investing, and financing activities, which brought in the most (or lost the least)...","In 2022, AMD brought in the most cashflow from Ope...",Operating activities brought in the most cash flow...,False,1.0,4.0,5.0,0.0,,,,,,,,,,,,,,,,
financebench_id_00476,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Which debt securities are registered to trade on a national securities exchange under American Expre...,There are none,American Express had various corporate bonds and s...,False,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,
financebench_id_01028,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,What are the geographies that American Express primarily operates in as of 2022?,"United States, EMEA, APAC, and LACC",American Express primarily operates in North Ameri...,False,1.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,
financebench_id_00723,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Does AMEX have an improving operating margin profile as of 2022? If operating margin is not a useful...,Performance is not measured through operating marg...,"Yes, AMEX has an improving operating margin profil...",False,1.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,
financebench_id_00720,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,What drove gross margin change as of the FY2022 for American Express? If gross margin is not a usefu...,Performance is not measured through gross margin,Gross margin is not a useful metric for American E...,False,1.0,4.0,3.0,0.0,,,,,,,,,,,,,,,,
financebench_id_01351,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,How much has the effective tax rate of American Express changed between FY2021 and FY2022?,The effective tax rate for American Express has ch...,The effective tax rate of American Express decreas...,False,1.0,2.0,5.0,3.0,,,,,,,,,,,,,,,,
financebench_id_00070,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Does American Water Works have positive working capital based on FY2022 data? If working capital is ...,"No, American Water Works had negative working capi...",Working capital may not be a relevant metric for A...,False,1.0,1.0,4.0,4.0,,,,,,,,,,,,,,,,
financebench_id_00685,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Are Best Buy's gross margins historically consistent (not fluctuating more than roughly 2% each year...,"Yes, the margins have been consistent, there has b...","No, Best Buy's gross margins are not historically ...",False,1.0,0.0,5.0,4.0,,,,,,,,,,,,,,,,
financebench_id_01077,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,"What are major acquisitions that Best Buy has done in FY2023, FY2022 and FY2021?","Best Buy closed two acquisitions, both these compa...",FY2021: Geek Squad; FY2022: Current Health; FY2023...,False,1.0,1.0,2.0,5.0,,,,,,,,,,,,,,,,
financebench_id_01275,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,"Among operations, investing, and financing activities, which brought in the most (or lost the least)...",Best Buy generated the most cash flow from operati...,Operating activities brought in the most cash flow...,False,1.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,
financebench_id_00517,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Are there any product categories / service categories that represent more than 20% of Boeing's reven...,Yes. Boeing has product and service categories tha...,"Yes, the Commercial Airplanes segment represents m...",False,1.0,2.0,5.0,4.0,,,,,,,,,,,,,,,,
financebench_id_01091,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Has Boeing reported any materially important ongoing legal battles from FY2022?,Yes. Multiple lawsuits have been filed against Boe...,"Yes, Boeing reported materially important ongoing ...",False,1.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,
financebench_id_00678,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Does Boeing have an improving gross margin profile as of FY2022? If gross margin is not a useful met...,Yes. Boeing has an improving gross margin profile ...,"Yes, Boeing has an improving gross margin profile ...",False,1.0,2.0,6.0,2.0,,,,,,,,,,,,,,,,
financebench_id_01290,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Who are the primary customers of Boeing as of FY2022?,Boeing's primary customers as of FY2022 are a limi...,Boeing's primary customers as of FY2022 are commer...,False,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,
financebench_id_01346,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,How much has the effective tax rate of Corning changed between FY2021 and FY2022?,The effective tax rate of Corning has changed from...,The effective tax rate of Corning changed by X per...,False,1.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,
financebench_id_00005,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Does Corning have positive working capital based on FY2022 data? If working capital is not a useful ...,Yes. Corning had a positive working capital amount...,"Yes, Corning has positive working capital based on...",False,1.0,2.0,3.0,5.0,,,,,,,,,,,,,,,,
financebench_id_00790,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Is CVS Health a capital-intensive business based on FY2022 data?,"Yes, CVS Health requires an extensive asset base t...","Yes, CVS Health is a capital-intensive business ba...",False,1.0,1.0,3.0,5.0,,,,,,,,,,,,,,,,
financebench_id_01107,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,"Has CVS Health reported any materially important ongoing legal battles from 2022, 2021 and 2020?","Yes, CVS Health has been involved in multiple ongo...","Yes, CVS Health has reported materially important ...",False,1.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,
financebench_id_01244,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Has CVS Health paid dividends to common shareholders in Q2 of FY2022?,"Yes, CVS paid a $ 0.55 dividend per share every qu...","Yes, CVS Health paid dividends to common sharehold...",False,1.0,3.0,5.0,3.0,,,,,,,,,,,,,,,,
financebench_id_00956,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Are JnJ's FY2022 financials that of a high growth company?,"No, JnJ's FY2022 financials are not of a high grow...","No, JnJ's FY2022 financials do not reflect those o...",False,1.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,
financebench_id_00669,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,What drove gross margin change as of FY2022 for JnJ? If gross margin is not a useful metric for a co...,"For FY22, JnJ had changes in gross margin due to: ...",Gross margin change for JnJ in FY2022 was driven b...,False,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,
financebench_id_00711,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Roughly how many times has JnJ sold its inventory in FY2022? Calculate inventory turnover ratio for ...,JnJ sold its inventory 2.7 times in FY2022.,5.25 times,False,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,
financebench_id_00206,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Are JPM's gross margins historically consistent (not fluctuating more than roughly 2% each year)? If...,"Since JPM is a financial institution, gross margin...",Gross margins are not a relevant metric for JPMorg...,False,1.0,4.0,2.0,0.0,,,,,,,,,,,,,,,,
financebench_id_01254,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Has MGM Resorts paid dividends to common shareholders in FY2022?,Yes. MGM maintained 0.01$ per share annual dividen...,"No, MGM Resorts did not pay dividends to common sh...",False,1.0,0.0,2.0,5.0,,,,,,,,,,,,,,,,
financebench_id_00552,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Has Microsoft increased its debt on balance sheet between FY2023 and the FY2022 period?,No. Microsoft decreased its debt by $2.5bn in FY 2...,"Yes, Microsoft has increased its debt on the balan...",False,1.0,0.0,6.0,2.0,,,,,,,,,,,,,,,,
financebench_id_01163,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,"Among operations, investing, and financing activities, which brought in the most (or lost the least)...","Among the three, cash flow from operations was the...",Operating activities brought in the most cash flow...,False,1.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,
financebench_id_00080,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Does Paypal have positive working capital based on FY2022 data? If working capital is not a useful o...,Yes. Paypal has a positive working capital of $ 1....,"Yes, PayPal has positive working capital based on ...",False,1.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,
financebench_id_01009,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,What are the geographies that Pepsico primarily operates in as of FY2022?,"As of FY2022, Pepsico primarily operates in the fo...","North America, Latin America, Europe, Asia, Middle...",False,1.0,2.0,5.0,6.0,,,,,,,,,,,,,,,,
financebench_id_00735,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Has Pepsico reported any materially important ongoing legal battles from FY2022 and FY2021?,"No, Pepsico is not involved in material legal batt...","Yes, PepsiCo reported ongoing legal battles in FY2...",False,1.0,0.0,5.0,1.0,,,,,,,,,,,,,,,,
financebench_id_01328,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,What is the quantity of restructuring costs directly outlined in Pepsico's income statements for FY2...,Pepsico's restructuring costs in FY2022 amounted t...,0,False,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,
financebench_id_00746,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Which debt securities are registered to trade on a national securities exchange under Ulta Beauty's ...,There are none,Ulta Beauty has senior unsecured notes registered ...,False,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,
financebench_id_00521,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,What are major acquisitions that Ulta Beauty has done in FY2023 and FY2022?,Ulta Beauty did not make any acquisitions in FY202...,"In FY2022, Ulta Beauty acquired Dermalogica; in FY...",False,1.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,
financebench_id_00216,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Does Verizon have a reasonably healthy liquidity profile based on its quick ratio for FY 2022? If th...,No. The quick ratio was approximately 0.54 for Ver...,The quick ratio is relevant for assessing Verizon'...,False,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,
financebench_id_00215,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Is Verizon a capital intensive business based on FY 2022 data?,Yes. Verizon's capital intensity ratio was approxi...,"Yes, Verizon is a capital-intensive business based...",False,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,
financebench_id_00566,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Has Verizon increased its debt on balance sheet between 2022 and the 2021 fiscal period?,No. Verizon's debt decreased by $229 million.,"Yes, Verizon has increased its debt on the balance...",False,1.0,0.0,2.0,3.0,,,,,,,,,,,,,,,,
financebench_id_03029,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,What is the FY2018 capital expenditure amount (in USD millions) for 3M? Give a response to the quest...,$1577.00,"$1,700 million",False,1.0,,,,False,1577.0,1700.0,7.7996195307545975,out_of_tolerance,False,1577.0,1700.0,7.7996195307545975,out_of_tolerance,,,,,,
financebench_id_04672,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,Assume that you are a public equities analyst. Answer the following question by primarily using info...,$8.70,$15 billion,False,1.0,,,,False,8.7,15.0,72.41379310344828,out_of_tolerance,False,8.7,15.0,72.41379310344828,out_of_tolerance,,,,,,
financebench_id_02987,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,What is the FY2019 fixed asset turnover ratio for Activision Blizzard? Fixed asset turnover ratio is...,24.26,4.06,False,1.0,,,,False,24.26,4.06,83.2646331409728,out_of_tolerance,False,24.26,4.06,83.2646331409728,out_of_tolerance,,,,,,
financebench_id_07966,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,What is the FY2017 - FY2019 3 year average of capex as a % of revenue for Activision Blizzard? Answe...,1.9%,4.7%,False,1.0,,,,False,1.9,4.7,147.3684210526316,out_of_tolerance,False,1.9,4.7,147.3684210526316,out_of_tolerance,,,,,,
financebench_id_04735,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,You are an investment banker and your only resource(s) to answer the following question is (are): th...,0.66,1.50,False,1.0,,,,False,0.66,1.5,127.27272727272727,out_of_tolerance,False,0.66,1.5,127.27272727272727,out_of_tolerance,,,,,,
financebench_id_07507,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,What is Adobe's year-over-year change in unadjusted operating income from FY2015 to FY2016 (in units...,65.4%,20.0%,False,1.0,,,,False,65.4,20.0,69.41896024464832,out_of_tolerance,False,65.4,20.0,69.41896024464832,out_of_tolerance,,,,,,
financebench_id_03856,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,What is the FY2017 operating cash flow ratio for Adobe? Operating cash flow ratio is defined as: cas...,0.83,2.33,False,1.0,,,,False,0.83,2.33,180.72289156626508,out_of_tolerance,False,0.83,2.33,180.72289156626508,out_of_tolerance,,,,,,
financebench_id_10420,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,Based on the information provided primarily in the statement of financial position and the statement...,-0.02,11.11%,False,1.0,,,,False,-0.02,11.11,55649.999999999985,out_of_tolerance,False,-0.02,11.11,55649.999999999985,out_of_tolerance,,,,,,
financebench_id_06655,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,What is Amazon's FY2017 days payable outstanding (DPO)? DPO is defined as: 365 * (average accounts p...,93.86,10.45,False,1.0,,,,False,93.86,10.45,88.8663967611336,out_of_tolerance,False,93.86,10.45,88.8663967611336,out_of_tolerance,,,,,,
financebench_id_08135,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,What is Amazon's year-over-year change in revenue from FY2016 to FY2017 (in units of percents and ro...,30.8%,30.1%,False,1.0,,,,True,30.8,30.1,2.2727272727272703,within_tolerance,True,30.8,30.1,2.2727272727272703,within_tolerance,,,,,,
financebench_id_08286,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,"By drawing conclusions from the information stated only in the income statement, what is Amazon's FY...",$11588.00,"$11,588 million",False,1.0,,,,True,11588.0,11588.0,0.0,exact_match,True,11588.0,11588.0,0.0,exact_match,,,,,,
financebench_id_03882,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,What is Amcor's year end FY2020 net AR (in USD millions)? Address the question by adopting the persp...,$1616.00,Data not available.,True,1.0,,,,False,1616.0,,,refusal,False,1616.0,,,refusal,,,,,,
financebench_id_03069,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,Answer the following question as if you are an equity research analyst and have lost internet connec...,4.2%,5%,False,1.0,,,,False,4.2,5.0,19.047619047619044,out_of_tolerance,False,4.2,5.0,19.047619047619044,out_of_tolerance,,,,,,
financebench_id_05718,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,How much (in USD billions) did American Water Works pay out in cash dividends for FY2020? Compute or...,$0.40,$1.2 billion,False,1.0,,,,False,0.4,1.2,199.99999999999997,out_of_tolerance,False,0.4,1200.0,299899.99999999994,out_of_tolerance,,,,,,
financebench_id_04254,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,"Basing your judgments off of the cash flow statement and the income statement, what is American Wate...",$1832.00,"$1,200 million",False,1.0,,,,False,1832.0,1200.0,34.49781659388647,out_of_tolerance,False,1832.0,1200.0,34.49781659388647,out_of_tolerance,,,,,,
financebench_id_02608,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,"In agreement with the information outlined in the income statement, what is the FY2015 - FY2017 3 ye...",2.8%,3.5%,False,1.0,,,,False,2.8,3.5,25.000000000000007,out_of_tolerance,False,2.8,3.5,25.000000000000007,out_of_tolerance,,,,,,
financebench_id_04417,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,What is the year end FY2019 total amount of inventories for Best Buy? Answer in USD millions. Base y...,$5409.00,"$3,000 million",False,1.0,,,,False,5409.0,3000.0,44.53688297282307,out_of_tolerance,False,5409.0,3000.0,44.53688297282307,out_of_tolerance,,,,,,
financebench_id_04660,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,"Considering the data in the balance sheet, what is Block's (formerly known as Square) FY2016 working...",1.73,1.50,False,1.0,,,,False,1.73,1.5,13.294797687861271,out_of_tolerance,False,1.73,1.5,13.294797687861271,out_of_tolerance,,,,,,
financebench_id_03838,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,What is the FY2019 - FY2020 total revenue growth rate for Block (formerly known as Square)? Answer i...,101.5%,102.1%,False,1.0,,,,True,101.5,102.1,0.5911330049261028,within_tolerance,True,101.5,102.1,0.5911330049261028,within_tolerance,,,,,,
financebench_id_07661,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,"Using the cash flow statement, answer the following question to the best of your abilities: how much...",$382.00,"$1,000 million",False,1.0,,,,False,382.0,1000.0,161.7801047120419,out_of_tolerance,False,382.0,1000.0,161.7801047120419,out_of_tolerance,,,,,,
financebench_id_10285,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,We need to calculate a financial metric by using information only provided within the balance sheet....,$12645.00,Data not available.,True,1.0,,,,False,12645.0,,,refusal,False,12645.0,,,refusal,,,,,,
financebench_id_03473,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,What is the FY2017 return on assets (ROA) for Coca Cola? ROA is defined as: FY2017 net income / (ave...,0.01,6.86%,False,1.0,,,,False,0.01,6.86,586.0,out_of_tolerance,False,0.01,6.86,68500.0,out_of_tolerance,,,,,,
financebench_id_09724,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,What is Coca Cola's FY2021 COGS % margin? Calculate what was asked by utilizing the line items clear...,39.7%,40.54%,False,1.0,,,,True,39.7,40.54,2.115869017632232,within_tolerance,True,39.7,40.54,2.115869017632232,within_tolerance,,,,,,
financebench_id_06272,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,What is Coca Cola's FY2022 dividend payout ratio (using total cash dividends paid and net income att...,0.8,78.95%,False,1.0,,,,True,0.8,78.95,1.3124999999999964,within_tolerance,False,0.8,78.95,9768.75,out_of_tolerance,,,,,,
financebench_id_10130,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,"Based on the information provided primarily in the balance sheet and the statement of income, what i...",63.86,77.69 days,False,1.0,,,,False,63.86,77.69,21.656749138740995,out_of_tolerance,False,63.86,77.69,21.656749138740995,out_of_tolerance,,,,,,
financebench_id_02981,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,"Taking into account the information outlined in the income statement, what is the FY2019 - FY2021 3 ...",10.3%,12.1%,False,1.0,,,,False,10.3,12.1,17.475728155339795,out_of_tolerance,False,10.3,12.1,17.475728155339795,out_of_tolerance,,,,,,
financebench_id_04209,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,"Using only the information within the balance sheet, how much total assets did Costco have at the en...",$59268.00,"$59,431 million",False,1.0,,,,True,59268.0,59431.0,0.27502193426469596,within_tolerance,True,59268.0,59431.0,0.27502193426469596,within_tolerance,,,,,,
financebench_id_05915,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,What is the FY2018 fixed asset turnover ratio for CVS Health? Fixed asset turnover ratio is defined ...,17.98,5.22,False,1.0,,,,False,17.98,5.22,70.96774193548387,out_of_tolerance,False,17.98,5.22,70.96774193548387,out_of_tolerance,,,,,,
financebench_id_04103,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,What is the FY2019 cash conversion cycle (CCC) for General Mills? CCC is defined as: DIO + DSO - DPO...,-3.7,108.35 days,False,1.0,,,,False,-3.7,108.35,3028.3783783783783,out_of_tolerance,False,-3.7,108.35,3028.3783783783783,out_of_tolerance,,,,,,
financebench_id_03471,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,"By drawing conclusions from the information stated only in the statement of financial position, what...",0.68,2.00,False,1.0,,,,False,0.68,2.0,194.11764705882348,out_of_tolerance,False,0.68,2.0,194.11764705882348,out_of_tolerance,,,,,,
financebench_id_04854,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,"According to the information provided in the statement of cash flows, what is the FY2020 free cash f...",$3215.00,$900 million,False,1.0,,,,False,3215.0,900.0,72.00622083981337,out_of_tolerance,False,3215.0,900.0,72.00622083981337,out_of_tolerance,,,,,,
financebench_id_10136,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,We want to calculate a financial metric. Please help us compute it by basing your answers off of the...,0.54,50.00%,False,1.0,,,,False,0.54,50.0,7.4074074074074066,out_of_tolerance,False,0.54,0.5,7.407407407407414,out_of_tolerance,,,,,,
financebench_id_10499,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,What is Kraft Heinz's FY2019 inventory turnover ratio? Inventory turnover ratio is defined as: (FY20...,6.25,4.55,False,1.0,,,,False,6.25,4.55,27.200000000000003,out_of_tolerance,False,6.25,4.55,27.200000000000003,out_of_tolerance,,,,,,
financebench_id_04412,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,We need to calculate a reasonable approximation (or exact number if possible) of a financial metric....,1.33,1.37,False,1.0,,,,True,1.33,1.37,3.0075187969924837,within_tolerance,True,1.33,1.37,3.0075187969924837,within_tolerance,,,,,,
financebench_id_03031,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,What is Lockheed Martin's FY2021 net working capital? Define net working capital as total current as...,$5818.00,"$5,000 million",False,1.0,,,,False,5818.0,5000.0,14.059814369199037,out_of_tolerance,False,5818.0,5000.0,14.059814369199037,out_of_tolerance,,,,,,
financebench_id_03718,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,What is Lockheed Martin's 2 year total revenue CAGR from FY2020 to FY2022 (in units of percents and ...,0.4%,1.5%,False,1.0,,,,False,0.4,1.5,275.0,out_of_tolerance,False,0.4,1.5,275.0,out_of_tolerance,,,,,,
financebench_id_04171,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,"Basing your judgments off of the balance sheet, what is the year end FY2018 amount of accounts payab...",$303.00,"$1,200 million",False,1.0,,,,False,303.0,1200.0,296.03960396039605,out_of_tolerance,False,303.0,1200.0,296.03960396039605,out_of_tolerance,,,,,,
